user_id,first_story_timestamp,first_comment_timestamp,first_seen,story_count,comment_count,event_count
DHK,,2022-03-01 07:26:19.000000 UTC,2022-03-01 07:26:19.000000 UTC,,1,1
_ft,,2013-01-02 03:08:07.000000 UTC,2013-01-02 03:08:07.000000 UTC,,1,1
e1g,2014-09-17 06:18:13.000000 UTC,2013-04-18 03:12:34.000000 UTC,2013-04-18 03:12:34.000000 UTC,6,382,388
jkg,,2014-02-02 13:35:54.000000 UTC,2014-02-02 13:35:54.000000 UTC,,1,1
kir,2014-11-06 10:49:00.000000 UTC,2014-11-09 10:36:01.000000 UTC,2014-11-06 10:49:00.000000 UTC,3,1,4
naz,2009-10-28 02:58:37.000000 UTC,2009-06-10 08:45:58.000000 UTC,2009-06-10 08:45:58.000000 UTC,14,310,324
rbx,2013-11-12 12:45:40.000000 UTC,2013-12-15 12:31:28.000000 UTC,2013-11-12 12:45:40.000000 UTC,25,26,51
xhl,,2020-04-14 23:13:48.000000 UTC,2020-04-14 23:13:48.000000 UTC,,3,3
Gedd,2022-03-22 19:58:55.000000 UTC,2022-03-23 17:49:24.000000 UTC,2022-03-22 19:58:55.000000 UTC,1,1,2
_dps,2014-09-26 09:51:09.000000 UTC,2011-08-11 00:49:52.000000 UTC,2011-08-11 00:49:52.000000 UTC,11,380,391
cpif,,2022-08-05 18:40:35.000000 UTC,2022-08-05 18:40:35.000000 UTC,,6,6
dopu,2016-02-09 05:50:50.000000 UTC,2016-01-06 15:59:41.000000 UTC,2016-01-06 15:59:41.000000 UTC,9,101,110
hden,2013-12-03 00:55:27.000000 UTC,2015-12-23 05:46:59.000000 UTC,2013-12-03 00:55:27.000000 UTC,4,21,25
hovl,2015-11-08 21:07:44.000000 UTC,2015-11-13 21:16:21.000000 UTC,2015-11-08 21:07:44.000000 UTC,6,1,7
jknz,2014-03-01 23:14:46.000000 UTC,2013-06-13 20:04:43.000000 UTC,2013-06-13 20:04:43.000000 UTC,1,136,137
jrwr,2017-04-30 18:59:39.000000 UTC,2017-08-12 19:54:04.000000 UTC,2017-04-30 18:59:39.000000 UTC,5,90,95
kxh6,2020-04-02 07:02:57.000000 UTC,2020-04-03 20:50:08.000000 UTC,2020-04-02 07:02:57.000000 UTC,2,2,4
mjol,,2021-06-29 05:10:16.000000 UTC,2021-06-29 05:10:16.000000 UTC,,3,3
qguv,2016-11-14 18:58:31.000000 UTC,2014-05-27 16:15:01.000000 UTC,2014-05-27 16:15:01.000000 UTC,2,21,23
r8yp,,2009-11-04 01:49:41.000000 UTC,2009-11-04 01:49:41.000000 UTC,,1,1
smap,,2008-11-10 14:32:13.000000 UTC,2008-11-10 14:32:13.000000 UTC,,3,3
ssmm,2010-05-03 03:51:20.000000 UTC,2010-05-02 00:41:50.000000 UTC,2010-05-02 00:41:50.000000 UTC,1,2,3
ssut,2015-06-28 12:27:27.000000 UTC,2020-12-07 13:58:29.000000 UTC,2015-06-28 12:27:27.000000 UTC,12,1,13
swec,2019-09-03 20:43:18.000000 UTC,2019-11-20 20:51:23.000000 UTC,2019-09-03 20:43:18.000000 UTC,13,1,14
tyxl,,2012-10-31 05:38:21.000000 UTC,2012-10-31 05:38:21.000000 UTC,,1,1
vjba,2019-10-14 08:42:50.000000 UTC,2019-10-13 17:14:17.000000 UTC,2019-10-13 17:14:17.000000 UTC,1,5,6
xeed,,2016-10-22 18:06:34.000000 UTC,2016-10-22 18:06:34.000000 UTC,,1,1
xorp,,2021-11-16 15:59:08.000000 UTC,2021-11-16 15:59:08.000000 UTC,,1,1
Btcpx,,2017-11-05 03:14:46.000000 UTC,2017-11-05 03:14:46.000000 UTC,,3,3
Buxel,,2020-08-19 06:18:41.000000 UTC,2020-08-19 06:18:41.000000 UTC,,1,1
Defoe,2022-08-13 00:37:49.000000 UTC,2022-08-13 00:37:49.000000 UTC,2022-08-13 00:37:49.000000 UTC,6,3,9
EricE,,2018-12-19 04:20:22.000000 UTC,2018-12-19 04:20:22.000000 UTC,,1798,1798
G3n0s,,2022-10-05 10:41:45.000000 UTC,2022-10-05 10:41:45.000000 UTC,,1,1
Jeeko,2014-12-29 21:15:14.000000 UTC,2014-12-29 21:15:43.000000 UTC,2014-12-29 21:15:14.000000 UTC,2,1,3
Kitco,,2011-04-19 02:10:16.000000 UTC,2011-04-19 02:10:16.000000 UTC,,3,3
Ma8ee,,2013-05-05 14:25:15.000000 UTC,2013-05-05 14:25:15.000000 UTC,,1301,1301
MuEta,2015-11-03 18:15:33.000000 UTC,2015-12-07 19:31:38.000000 UTC,2015-11-03 18:15:33.000000 UTC,5,17,22
R3dv3,2020-08-02 12:13:03.000000 UTC,2021-10-13 19:04:25.000000 UTC,2020-08-02 12:13:03.000000 UTC,1,1,2
S6eUL,2022-04-12 18:12:44.000000 UTC,2021-11-01 12:19:05.000000 UTC,2021-11-01 12:19:05.000000 UTC,1,12,13
SBG11,,2015-07-20 17:24:58.000000 UTC,2015-07-20 17:24:58.000000 UTC,,5,5
SuzyM,,2017-01-20 19:33:22.000000 UTC,2017-01-20 19:33:22.000000 UTC,,2,2
Tiksi,2014-05-09 08:54:26.000000 UTC,2013-10-14 14:08:50.000000 UTC,2013-10-14 14:08:50.000000 UTC,3,397,400
Tphil,,2022-08-09 07:16:15.000000 UTC,2022-08-09 07:16:15.000000 UTC,,8,8
_8gfe,,2020-09-28 09:21:46.000000 UTC,2020-09-28 09:21:46.000000 UTC,,1,1
_jahh,,2016-12-21 19:53:44.000000 UTC,2016-12-21 19:53:44.000000 UTC,,100,100
_lm1s,,2019-08-28 15:17:11.000000 UTC,2019-08-28 15:17:11.000000 UTC,,2,2
_roqj,,2021-02-11 21:05:52.000000 UTC,2021-02-11 21:05:52.000000 UTC,,3,3
a1233,,2022-02-22 23:09:50.000000 UTC,2022-02-22 23:09:50.000000 UTC,,1,1
aleja,,2010-09-08 02:56:17.000000 UTC,2010-09-08 02:56:17.000000 UTC,,2,2
ali77,,2022-06-16 19:38:10.000000 UTC,2022-06-16 19:38:10.000000 UTC,,1,1
ambuj,2012-12-29 14:41:31.000000 UTC,2012-01-25 08:55:52.000000 UTC,2012-01-25 08:55:52.000000 UTC,21,6,27
assoc,,2016-04-03 11:23:10.000000 UTC,2016-04-03 11:23:10.000000 UTC,,1,1
audis,,2015-12-07 10:56:07.000000 UTC,2015-12-07 10:56:07.000000 UTC,,1,1
aujar,,2020-12-24 23:11:20.000000 UTC,2020-12-24 23:11:20.000000 UTC,,1,1
blark,,2022-08-30 20:12:17.000000 UTC,2022-08-30 20:12:17.000000 UTC,,6,6
choto,2020-08-29 10:52:25.000000 UTC,2019-04-21 16:29:12.000000 UTC,2019-04-21 16:29:12.000000 UTC,1,2,3
coolk,,2011-12-28 17:14:41.000000 UTC,2011-12-28 17:14:41.000000 UTC,,1,1
cyanf,2022-04-30 10:43:48.000000 UTC,2021-01-18 18:12:52.000000 UTC,2021-01-18 18:12:52.000000 UTC,2,11,13
delld,,2009-08-03 12:01:59.000000 UTC,2009-08-03 12:01:59.000000 UTC,,6,6
enodo,,2009-04-30 20:04:20.000000 UTC,2009-04-30 20:04:20.000000 UTC,,1,1
eries,2008-09-06 07:49:49.000000 UTC,2008-09-06 08:09:27.000000 UTC,2008-09-06 07:49:49.000000 UTC,45,351,397
ert23,,2018-04-24 09:00:50.000000 UTC,2018-04-24 09:00:50.000000 UTC,,3,3
gerts,,2012-06-29 19:01:52.000000 UTC,2012-06-29 19:01:52.000000 UTC,,14,14
gotts,2022-04-19 22:19:05.000000 UTC,2014-03-11 03:37:32.000000 UTC,2014-03-11 03:37:32.000000 UTC,1,70,71
gowan,2014-11-13 08:54:43.000000 UTC,2014-07-04 17:16:59.000000 UTC,2014-07-04 17:16:59.000000 UTC,10,43,53
gurdo,2012-10-27 15:29:50.000000 UTC,2012-11-11 07:28:37.000000 UTC,2012-10-27 15:29:50.000000 UTC,19,5,24
ihulk,,2020-06-22 02:15:36.000000 UTC,2020-06-22 02:15:36.000000 UTC,,1,1
infer,2013-04-24 21:53:46.000000 UTC,2013-05-01 18:29:55.000000 UTC,2013-04-24 21:53:46.000000 UTC,1,22,23
j_syk,,2014-10-21 15:41:00.000000 UTC,2014-10-21 15:41:00.000000 UTC,,11,11
jampa,2017-06-28 18:52:01.000000 UTC,2016-08-23 19:24:55.000000 UTC,2016-08-23 19:24:55.000000 UTC,3,23,26
jaybe,,2008-05-16 19:48:08.000000 UTC,2008-05-16 19:48:08.000000 UTC,,1,1
kydoh,2010-08-06 19:46:03.000000 UTC,2010-07-18 02:06:28.000000 UTC,2010-07-18 02:06:28.000000 UTC,17,1,18
mgubi,2020-04-10 11:43:00.000000 UTC,2019-06-29 14:10:49.000000 UTC,2019-06-29 14:10:49.000000 UTC,8,64,72
mpjme,2015-07-28 12:25:36.000000 UTC,2016-05-15 10:28:21.000000 UTC,2015-07-28 12:25:36.000000 UTC,8,8,16
myxie,,2017-11-12 04:28:20.000000 UTC,2017-11-12 04:28:20.000000 UTC,,1,1
naush,,2012-03-25 04:45:11.000000 UTC,2012-03-25 04:45:11.000000 UTC,,4,4
prmph,2016-01-11 20:39:49.000000 UTC,2016-01-09 05:32:01.000000 UTC,2016-01-09 05:32:01.000000 UTC,134,236,370
qapla,,2020-12-30 10:44:39.000000 UTC,2020-12-30 10:44:39.000000 UTC,,3,3
rkj01,,2017-07-28 20:02:49.000000 UTC,2017-07-28 20:02:49.000000 UTC,,1,1
